"iem_cd","tck_iem_cd","ifs_tma_cd","ifs_tma_nm","tma_otl_cts"
US8807701029,TER,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
US0382221051,AMAT,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
US0079731008,AEIS,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
US04247X1028,AWI,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US4370761029,HD,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US5745991068,MAS,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US6081901042,MHK,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US8243481061,SHW,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US5486611073,LOW,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US88023U1016,TPX,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US94419L1017,W,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US9699041011,WSM,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US34964C1062,FBIN,"0013",리모델링/인테리어,"인테리어디자인 및 리모델링 관련 업체들. 국민소득이 향상되고 삶의 질에 대한 중요성이 부각되면서 인테리어디자인 및 리모델링에 대한 관심이 높아지고 있으며, 그 범위도 단순한 주거 인테리어에서 사무환경 개선, 환경디자인, 공간 컨설팅 등으로 확대되고 있는 상황임. 특히, 개/보수가 필요한 노후주택 수가 크게 늘면서 리모델링 및 인테리어 수요 역시 크게 증가할 것으로 전망됨."
US67066G1040,NVDA,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US5951121038,MU,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US4581401001,INTC,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US11135F1012,AVGO,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US0079031078,AMD,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US0382221051,AMAT,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US0326541051,ADI,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US8825081040,TXN,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US83088M1027,SWKS,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US7475251036,QCOM,"0014",반도체 재료/부품,"반도체 재료(소재), 부품을 생산하는 기업군."
US98978V1035,ZTS,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US0576652004,BCPC,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US0394831020,ADM,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US28414H1032,ELAN,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US2372661015,DAR,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US4571871023,INGR,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
BMG169621056,BG,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US08862E1091,BYND,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US9024941034,TSN,"0016",구제역/광우병 수혜,"광우병, 구제역 발생시 수혜가 부각되며 단기적으로 시세를 분출하는 종목군. 대체식품 생산 및 예방 사료첨가제 제조회사."
US17275R1023,CSCO,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US4592001014,IBM,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US68389X1054,ORCL,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US42824C1099,HPE,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US3377381088,FISV,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US23355L1061,DXC,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US1924461023,CTSH,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US79466L3024,CRM,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US12514G1085,CDW,"0017",SI(시스템통합),"SI란 System Integration의 약자로 정보시스템의 설계, 최적의 하드웨어 선정에서 발주 및 조달, 사용자의 필요에 맞춘 응용소프트웨어의 개발, 시스템의 유지, 보수 등을 통합적으로 서비스하는 사업을 말함. 관련업체는 주로 정보처리 서비스업체, 소프트웨어 개발업체, 컨설턴트 업체 등이 있음."
US3719011096,GNTX,"0027",자동차부품,"자동차 부품 생산업체. 현대차그룹이 세계적인 글로벌 자동차메이커로 성장하면서 자동차 관련 부품주들도 수혜 기대감으로 관심이 집중되고 있음. 이에 따라 국내 업체들이 전문화, 글로벌화 되고 있으며, 또한 세계 완성차 업계의 납품 관행이 품질 위주로 바뀌면서 가격 대비 품질에서 앞서고 있는 국내 업체들의 해외 직수출이 확대되고 있음."
US5218652049,LEA,"0027",자동차부품,"자동차 부품 생산업체. 현대차그룹이 세계적인 글로벌 자동차메이커로 성장하면서 자동차 관련 부품주들도 수혜 기대감으로 관심이 집중되고 있음. 이에 따라 국내 업체들이 전문화, 글로벌화 되고 있으며, 또한 세계 완성차 업계의 납품 관행이 품질 위주로 바뀌면서 가격 대비 품질에서 앞서고 있는 국내 업체들의 해외 직수출이 확대되고 있음."
US0997241064,BWA,"0027",자동차부품,"자동차 부품 생산업체. 현대차그룹이 세계적인 글로벌 자동차메이커로 성장하면서 자동차 관련 부품주들도 수혜 기대감으로 관심이 집중되고 있음. 이에 따라 국내 업체들이 전문화, 글로벌화 되고 있으며, 또한 세계 완성차 업계의 납품 관행이 품질 위주로 바뀌면서 가격 대비 품질에서 앞서고 있는 국내 업체들의 해외 직수출이 확대되고 있음."
US5024311095,LHX,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US7475251036,QCOM,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US17275R1023,CSCO,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US0116421050,ALRM,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US00090Q1031,ADT,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US92343X1000,VRNT,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US4385161066,HON,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US34959E1091,FTNT,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US3024451011,FLIR,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US6200763075,MSI,"0028",CCTV＆DVR,"CCTV카메라 관련 제품 제조/서비스업체와 디지털 영상 저장장치를 제조하는 업체. DVR은 카메라가 보내오는 아날로그 신호를 디지털 신호로 변환시켜 하드디스크에 고화질로 압축 저장하는 장치이며, CCTV는 폐쇄회로 텔레비전으로 보안과 범죄예방을 위하여 일정공간에 설치한 감시카메라를 의미함. 아동범죄 예방과 보안비용 절약, 사고 방지를 위한 인공지능(AI) 기술 접목 등을 위해 향후 시장확대가 기대되고 있는 종목군. 사회적 반향을 일으키는 범죄사건들과 테러가 발생하거나, 수술실 CCTV 설치 의무화 이슈 부각 등에 시장의 주목을 받는 경향이 있음."
US75513E1010,RTX,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US2310211063,CMI,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US1491231015,CAT,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US3695501086,GD,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US88579Y1010,MMM,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US5398301094,LMT,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US4385161066,HON,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US4464131063,HII,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US37045V1008,GM,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US3696041033,GE,"0030",조선,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발/생산하는 산업임. 국내 조선업체들은 세계적 수준의 기술력, 생산력, 경영능력을 보유."
US00508Y1029,AYI,"0033",LED,"발광다이오드(Light Emitting Diode)란 전기 신호를 빛으로 바꾸는 화합물 반도체임. 휴대전화 키패드 광원, LCD용 백라이트, 자동차 계기판, 브레이크등, 방향표시등, 전광판, 조명기구 등 다양한 제품군에서 활용되고 있음."
US9224171002,VECO,"0033",LED,"발광다이오드(Light Emitting Diode)란 전기 신호를 빛으로 바꾸는 화합물 반도체임. 휴대전화 키패드 광원, LCD용 백라이트, 자동차 계기판, 브레이크등, 방향표시등, 전광판, 조명기구 등 다양한 제품군에서 활용되고 있음."
US91347P1057,OLED,"0033",LED,"발광다이오드(Light Emitting Diode)란 전기 신호를 빛으로 바꾸는 화합물 반도체임. 휴대전화 키패드 광원, LCD용 백라이트, 자동차 계기판, 브레이크등, 방향표시등, 전광판, 조명기구 등 다양한 제품군에서 활용되고 있음."
